,ocid,Level_00,Level_01,Level_02,Level_03,Level_04,Level_05,Level_06
981,ocds-591adf-0940672274,4,4.2,4.2,4.2,4.2,4.2,4.2
982,ocds-591adf-1019283522,4,4.2,4.2,4.2,4.2,4.2,4.2
983,ocds-591adf-8691193848,15,15,15,15,15,15,15
984,ocds-591adf-3135230141,4,4.2,4.2,4.2,4.2,4.2,4.2
985,ocds-591adf-5935767031,4,4.2,4.2,4.2,4.2,4.2,4.2
986,ocds-591adf-2903171387,4,4.2,4.2,4.2,4.2,4.2,4.2
987,ocds-591adf-3479988382,4,4.2,4.2,4.2,4.2,4.2,4.2
988,ocds-591adf-5549008607,4,4.2,4.2,4.2,4.2,4.2,4.2
989,ocds-591adf-3993686006,4,4.2,4.2,4.2,4.2,4.2,4.2
990,ocds-591adf-7027592904,4,4.2,4.2,4.2,4.2,4.2,4.2
991,ocds-591adf-9487119280,4,4.2,4.2,4.2,4.2,4.2,4.2
992,ocds-591adf-6647835520,4,4.2,4.2,4.2,4.2,4.2,4.2
993,ocds-591adf-3098471462,4,4.2,4.2,4.2,4.2,4.2,4.2
994,ocds-591adf-3682822226,4,4.2,4.2,4.2,4.2,4.2,4.2
995,ocds-591adf-5606276477,4,4.2,4.2,4.2,4.2,4.2,4.2
996,ocds-591adf-6818766222,3,3.0,3.0.0,3.0.0.2,3.0.0.2.0,3.0.0.2.0,3.0.0.2.0
997,ocds-591adf-1704013534,3,3.6,3.6.0,3.6.0,3.6.0,3.6.0,3.6.0
998,ocds-591adf-2816170620,3,3.6,3.6.1,3.6.1,3.6.1,3.6.1,3.6.1
999,ocds-591adf-1920965082,3,3.6,3.6.0,3.6.0,3.6.0,3.6.0,3.6.0
1000,ocds-591adf-5357825509,7,7.0,7.0,7.0,7.0,7.0,7.0
1001,ocds-591adf-4313867617,4,4.0,4.0.1,4.0.1.2,4.0.1.2.0,4.0.1.2.0,4.0.1.2.0
1002,ocds-591adf-6051705587,4,4.1,4.1.1,4.1.1.1,4.1.1.1.0,4.1.1.1.0,4.1.1.1.0
1003,ocds-591adf-8994683757,4,4.1,4.1.0,4.1.0.1,4.1.0.1.0,4.1.0.1.0,4.1.0.1.0
1004,ocds-591adf-4292786006,7,7.0,7.0,7.0,7.0,7.0,7.0
