,ocid,template
687,ocds-591adf-5143717407,3A
688,ocds-591adf-2064950212,3B
689,ocds-591adf-9373760375,3B
690,ocds-591adf-3624750089,3B
691,ocds-591adf-8293745677,1C
692,ocds-591adf-3836497586,1A
693,ocds-591adf-4942070282,2C
694,ocds-591adf-6677014369,2C
695,ocds-591adf-7269927615,1A
696,ocds-591adf-1878297445,1C
697,ocds-591adf-3034053463,1A
698,ocds-591adf-6918850444,1A
699,ocds-591adf-2962312827,1A
700,ocds-591adf-9112931197,2C
701,ocds-591adf-3240944164,2C
702,ocds-591adf-2372332812,2B
703,ocds-591adf-6603720058,2A
704,ocds-591adf-2108050504,1A
705,ocds-591adf-8586283189,2A
706,ocds-591adf-1090177289,2A
707,ocds-591adf-7382402375,2C
708,ocds-591adf-2401833289,2A
709,ocds-591adf-7847639074,1C
710,ocds-591adf-4170419959,2C
711,ocds-591adf-3240717431,2C
712,ocds-591adf-5307724746,2B
713,ocds-591adf-4949559443,1B
714,ocds-591adf-4100054818,3B
715,ocds-591adf-3390216177,3B
716,ocds-591adf-0905492397,3B
717,ocds-591adf-4627617881,1B
718,ocds-591adf-4266757473,1B
719,ocds-591adf-7158316162,1B
720,ocds-591adf-9992750712,1B
721,ocds-591adf-0229286985,1B
722,ocds-591adf-9755129131,2B
723,ocds-591adf-8565852539,2C
724,ocds-591adf-9653814550,3B
725,ocds-591adf-9306866843,1B
726,ocds-591adf-7832951874,1C
727,ocds-591adf-2807774921,1B
728,ocds-591adf-7561219297,1B
729,ocds-591adf-8287357455,1B
730,ocds-591adf-7978718383,2A
731,ocds-591adf-0152077061,2B
732,ocds-591adf-0639747840,1A
733,ocds-591adf-1876794520,2B
734,ocds-591adf-6710616438,2A
735,ocds-591adf-2288241575,3B
736,ocds-591adf-5458382622,3B
737,ocds-591adf-1652437188,3B
738,ocds-591adf-3084399754,3B
739,ocds-591adf-8016771929,3A
740,ocds-591adf-0964401878,3A
741,ocds-591adf-1933643437,3B
742,ocds-591adf-4702341687,2B
743,ocds-591adf-9116317246,2B
744,ocds-591adf-8195848983,2B
745,ocds-591adf-9115122251,2B
746,ocds-591adf-6515199615,2B
747,ocds-591adf-8461631165,2B
748,ocds-591adf-0111399201,2B
749,ocds-591adf-5373437767,2B
750,ocds-591adf-6441264203,2B
751,ocds-591adf-1002152174,1A
752,ocds-591adf-5608935364,1A
753,ocds-591adf-4957567520,1B
754,ocds-591adf-6075316030,2C
755,ocds-591adf-5515805540,1B
756,ocds-591adf-1531285830,1A
757,ocds-591adf-9390285909,1A
758,ocds-591adf-3562069704,
759,ocds-591adf-4735659025,1C
760,ocds-591adf-0557496060,1B
761,ocds-591adf-8902140898,1B
762,ocds-591adf-2999190496,2A
763,ocds-591adf-7146752013,2A
764,ocds-591adf-0429102665,2A
765,ocds-591adf-8621709918,2A
766,ocds-591adf-2653125767,2A
767,ocds-591adf-0024730431,2A
768,ocds-591adf-4811240028,2A
769,ocds-591adf-9181613139,2A
770,ocds-591adf-8619369763,2A
771,ocds-591adf-5770617196,2A
772,ocds-591adf-0749759512,2A
773,ocds-591adf-3310202625,2B
774,ocds-591adf-5947912794,3A
